,CUSTOMER_NAME,REVIEW_TITLE,REVIEW_COMMENTS,RATINGS,SOURCE,OVERALL_SENTIMENT
48,Avinash,It's Amazing,"Everything is superb, only the case cap has low quality hing..it's feel loose all time and not feel premium.",4,amazon,Negative
49,Amazon Customer,If love music don't buy Live!,"Music experience not as good as JBL Tune and no return/replacement by Amazon for this JBL Live pro 2. Not recommended for Music lovers, trust me. I have JBL Tune 115, which was best for Music.",1,amazon,Negative
50,DEVENDRA H MHATRE,Good Sound and bass,I've order jbl live pro 2 tws os very awesome sound and food baattery life,4,amazon,Positive
51,Amazon Customer,Device reboots frequently. Also looses connection with the phone frequently.,"Device reboots frequently. Also looses connection with the phone frequently. Noise cancellation does not seem to be sufficient. Even with correct fit and Noise cancellation ""ON"", i can hear external noise quite well. Wondering whats so special in this to cost ~Rs.14000/-. The quality seems similar to headphones costing less than Rs.5000/-. I had high expectations considering the price tag and the brand name. But didnt find it worth.",3,amazon,Negative
52,Worst Mic,DON'T BUY,"Only Bass is Awesome
Look - Premium

Battery - Worst
ANC Mic - Worst
Gaming - Worst

I want too return please pickup my product as soon as possible ð",2,amazon,Negative
53,Kashish,Worth every penny !,"Jbl does not disappoint ! No complaints as well for this purchase as well. If you are planning to go for it, pls go for it.",5,amazon,Positive
54,Bishnu das,Excellent,"Mind blowing sound clarity, battery charging is not good.",5,amazon,Negative
55,HOZAIFA HAKIM,Amazing Buy,"Have used Samsung Buds Live, Buds Pro, Jabra T65Active, Apple Airpods, Boat amongst a few True wireless. These JBL are something different. I use it almost all thru the day in office many a times during my runs and have also used it while riding a bike and talking on the phone. The audio (incoming and outgoing) during calls is fabulous, the music sound is also too good",5,amazon,Positive
56,Placeholder,Very good product,Very good product,5,amazon,Positive
57,Rahul Kumar,ANC is not upto the mark,"ANC is not working upto the mark, background noise cancellation is not happening during the call ð¤. Buds are not fitting properly into the ear. Really I don't like this product and there is no option to return the same.",1,amazon,Negative
58,Very poor sound quality. I am unsatisfied with this sound quality & base quality.,Poor sound,Very Very poor sound & base quality. I am not satisfied with this quality.,1,amazon,Negative
59,Salil Dutta,Worth the price I paid,It's been 2 days since I got this. I am a bass head and I must say this didn't disappoint. The high and mids are crisp as well and the ANC and surround modes are just perfect. Although it can become a little uncomfortable to keep them on for longer hours however overall a brilliant experience. It was exactly what the doctor ordered for me!,5,amazon,Positive
60,Kishor Bhat,Best tws in this range,Good earphones as always from JBL,5,amazon,Positive
61,Pankaj,ðð»ðð»ðð»,Sound quality is awesome. When make full volume then not expected is felling less volume.,3,amazon,Positive
62,VINOD patil,Very bad product,Only in one month left earbud stopped charging and stopped working,2,amazon,Negative
63,Jilani basha,Premium price budget experience ð¤­,"Fit was worst, sound quality OK fine, looks ð cool",3,amazon,Positive
64,Placeholder,Dont buy,"Don not buy this product actually problem is level of sound is low and bass effect is not adquet at low valum, it will affect only when mobile volume get full, second noise cancellation not good.",2,amazon,Negative
65,Niraj,JBL Pro 2,"The sound quality, ANC %, bass effect, fit, look are just too good!!! Worth buying!",5,amazon,Positive
66,GV,Love it,"As an airline professional am exposed to high db levels. Must say the buds work well as ANC only buds also. Good battery life .
Been with Sennheiser TW buds before., Had very less battery life. This one's way better. Recommended",5,amazon,Positive
67,AMAR FAST FOOD,Superb,Nothing better then this,5,amazon,Positive
68,Kaustubh,Not worth the price,"Product is good but not worth the price, at all.
- Battery is not good enough as advertised; hardly lasts 2-2.5 hour.
- Worst part is the 'JBL Headphones' mobile app.; the selected setting gets reset randomly, need location access each time to connect to earbuds, many a times the earbuds are not discovered, not much customisation possible.
- ANC is poor; even lower range earbuds provide better ANC",1,amazon,Negative
69,itishree raul,Bad product. Multiple issues,Such bad product,1,amazon,Negative
70,Vishal Golchha,"Glitches a lot, bad software",The software is buggy and disappointing in it's features. I wrote to JBL giving feedback but they didn't respond. The hardware seems to be great and the fit is flawless.,1,amazon,Negative
71,Anurag,Excellent Product,One of the best TWS,5,amazon,Positive
72,Sayikrishna,Anc,The anc is amazing,5,amazon,Positive
73,Anmol Vaibhav,Sound Quality,Overall it is a very good purchase.,5,amazon,Positive
74,kulvinder singh,super,noise cancellation and environment cancellation sound quality battery life is to good,5,amazon,Positive
75,Himanshu,Better than Apple air pod pro,"It's very nice and meet all expectations. Silent call even at ludest place .
Nice work JBL
Superb ANC.",5,amazon,Positive
76,Suraj Sharma,Super product by JBL,"Great sound quality, but expensive. You will love it while using.",5,amazon,Positive
77,Anurag,Outstanding performance!,I impressed with the battery life per charge and sound quality is top level!,5,amazon,Positive
78,Johns B.,Quality Product,Bit expensive but a good product.,5,amazon,Positive
79,Mr James,Exception Ear Buds... JBL Live Pro 2 TWS,"First word out of my mouth when I put these in my ears was ""WOW""! Great fit and snug, hogh quality sound with great bass, noise cancelling is awesome, and the battery life is 40 hrs...holy cow, the best ear buds, hands down. The connection to my Samnsung phone was maybe 2 seconds..if that. From cycling to working out, these stayed in my ears and provided high quality sound. The charging case lid is held down with a magnet which i truly like over ones that pop open at anytine. Phone sound to and from someone is clear and understandable. I highly recommend these as I will be getting another pair for my wife....that's how much we like them. I can assure you these are in my ears everyday and are my go to ear buds!",5,jbl,Positive
80,I love music,Live Pro 2,"Jbl is on top of their game when it come to earbuds, but they did a great job with this one .The JBL Live Pro 2 are feature pack with all of the high end up to date technology packed into this  little earbud they have wireless charging also adaptive noise canceling. They connect pretty fast ,as soon as I took them out of the case they popped up on my phone . Then I downloaded the JBL headphones app which you would need to get the best from these earbuds. They have decent sound,I just wish sometime the volume would go a little higher , but I guess thatâs good to save my hearing.You can also use one earbud at a time the left and right earbud work independently, you can also connect to multiple devices.",4,jbl,Positive
81,Intruder,"Awesome Sound, Size and Style",Love the sound and the fit! I have issues with other ear pods to fit with these they come with different ear bud cones sizes so perfect. The sound is awesome and reason for the 4 star is I would have liked them to have more BASS. Touch controls amazing! Tap then double tap for operations. Easy set up with the app and the charging case very compact and stylish. Definitely recommend!,4,jbl,Positive
82,Sabo 1,High quality of sound and hardware,"Bought them yesterday and to be honest theyâre much better than I expected this is my first jbl product and I can absolutely recommend it to anybody who wants to buy it, the hardware quality is high and it fits perfect in the ears. I compared it to my other earbuds too and the jbl live pro 2 sounds much better.",5,jbl,Positive
83,drbll,Top quality earbuds,"Not sure how they did it, but these are the nicest earbuds I have had.  Of course the JBL sound is amazing, that is a given.  The ease of use and the app make these my favorites.  Using the check my fit feature, I changed the rubbers to the large size and they fit securely and sound great with a good seal.  The black chrome accents look good and match my car nicely.  The case is smaller than most, which I hope I don't loose it, but the app has a finder feature.",5,jbl,Positive
84,TDTechOfficial,Outstanding All Around Product!,"Strait out of the box, the setup is very strait forward and easy. Downloading the app to adjust settings with ease and creating a custom equalizer to achieve a perfect sound is super easy to do. The JBL Live Pro 2 provide a great, clean and crisp sound. The signature JBL sound is very alive with these earbuds. The sound signature of these earbuds is very enjoyable. Good low notes with crisp highs and prominent mids. 
Packaging is organized and give a great presentation.

Overall these are one of the best sounding and most portable high quality earbuds out there. I highly recommend these.",5,jbl,Positive
85,ThatGuyYouKnow,Blown away by the improvements,"So I have a pair of the JBL Live Pro + headphones. They have been my everyday earbuds since I got them and I was super happy with them minus a couple exceptions. When I saw the Live Pro 2, I knew I had to get a pair and try them out. I wanted to see what was changed. I loved the sound of the Pro + but the Pro 2  sound even better. Now switching between the two, I can hear much better mids and highs than the Pro+. Even the bass is better on the Pro2, which I honestly didn't expect since the Pro+ had very good bass. I was also pleasantly surprised how much better they fit in my ears. The Pro+ were fine and I didn't have any fit issues at all but the Pro2 seem to just stick in my ears. When I shake my head they don't move at all. 
Another improvement that I noticed and really love is when using a gesture to switch between Active Noise Canceling, Ambient Aware, and TalkThru. The Pro+ would just beep and you would have to know which one you switched to. While this isn't a huge issue it made it sometimes difficult to tell. Now with the Pro2 you get voice feedback after switching between the different settings. The voice prompts can all be changed in the app to a handful of different languages or just off if you don't want it.  The gestures also were slightly updated, where now I can have my favorite assistant as a hold and still be able to skip, play/pause songs. This wasn't possible with the Pro+ as using an assistant used up all the gestures on the ear bud for the assistant. 
The JBL app also got a nice visual upgrade for these earbuds and some new features. There is now a VoiceAware slider so you can adjust the amount of your voice you hear on phone calls. There is also more settings to customize the ANC which is nice. 
The only thing I was hesitant on was the color. I usually get black but this time I got the blue. I'm happy I did, they look really sharp.
Overall, I'm really happy with these. They fit great, have awesome sound and have an even longer battery life. I can finally use them for a full day of work. I tend to listen to music or I'm always in some meeting or call for work. So I tend to have these in for close to 8 hours on a work day. It's nice not having to charge them during my lunch break in order for them to last the rest of the day. 
I can't recommend these enough, Great Product.",5,jbl,Positive
86,RipSpeed,Great pair of earbuds,"Absolutely in love with these earbuds! First of all they keep the charge really well which is very important for me,and charges quickly in the charging box. Sound quality is great,very good noise canceling. Came packed appealing to the eye. I can use them both or take just one for use,really convenient. Bluetooth pairing is top noch every time,pairs effortlessly,good Bluetooth range. Overall really happy with these gems",5,jbl,Positive
87,Elimel,Great All Around and Versatile,"These headphones are great! I have had multiple pairs of airbud-style headphones and these are by far the best pair! First of all, these are truly noise canceling. I am able to have a normal conversation without cranking the volume all the way up. They are also great for just kicking back and relaxing. The quality is amazing. They pair up the first time on my iPhone, The only issue I am having is they tend to fall out. I have tried multiple sizes of the included ear tips but they still tend to fall out after a little while. The bottom line is great a pair of headphones for avid listeners to serious business-minded professionals who make tons of calls daily.",4,jbl,Positive
88,prjio307,"Great Buds, Lots of Features, Subpar Mic","These headphones are wonderful if you are someone looking for high quality sound for music and movies/videos. For content consumption, these are some of the best sounding earbuds in this price point, and they honestly punch above their price point in terms of sound quality. 

However, if you are someone looking for great call quality for business calls, these are not it. Thatâs not to say that the mic is terrible, because itâs not. Itâs just not up to par when it comes to blocking our background noise. 

Sound quality: excellent, 5/5 in my opinion here. Highly customizable with EQ and app features. You can really fine tune the EQ across a wide range of frequencies. 

Comfort: again, excellent, 5/5. These are the most comfortable earbuds that Iâve worn in a long time. I forget they are in!

Noise cancellation: very good, 4/5. Excellent noise cancellation for this price point, but itâs not the best of the best. The noise cancellation is also customizable via the app and tunes itself to your surroundings and your ear shape. Cool stuff! I found that this did make a difference once I did this in the app. 

Ambient mode: excellent, 5/5. Conversations sound natural, like youâre not wearing anything. This is also customizable in the app as far as how much ambient sound you want to let in. Good stuff. 

Style: subjective. The buds speak for themselves but I find them to be very stylish! The color options are awesome and the blue color is stunning. 

Charging case & Battery life: this little case is awesome. 5/5 It packs 30 total hours of charge and charges FAST. Both the earbuds and the case charge very fast and last a LONG time. Much longer than other earbuds I have used. I can get through a whole workday just fine, with room to breathe. 5/5 for battery life. 

Features: oh boy - 5/5 for sure. Extensive EQ options, a video mode for lip syncing (not an issue for me, even in audio mode, but itâs nice to have!), talk through, customizable ambient mode, noise cancellation tuning, the list just goes on. These are very feature rich and customizable.

Connectivity: excellent 5/5. These paired up quickly and reconnect INSTANTLY when taking them out of the case. You can also use either earbuds independently of the other. 

The app: 5/5, very easy to use! Straightforward and easy to jump in and start tweaking to your liking. 

Call quality: hereâs where we run into some not so great. 2/5 here in my opinion. To be fair, folks I tested calls with told me they could hear me loudly, however I sounded a bit muffled and they could hear EVERYTHING in the background. They said it sounded like I was on speakerphone and they could hear all of my surroundings. In a quiet environment, it was fine, but in even a lightly noisy environment, these did not perform well. These are fine for calls when you are in a pinch, but I wouldnât buy them for this purpose. 

Overall, these are an awesome set of earbuds. Iâm very happy to see how far we have come in terms of truly wireless earbuds. The future is bright and I would recommend these buds to anyone looking for excellent sound quality, great noise cancellation, comfort, style, and features!",4,jbl,Positive
89,,The active noise cancellation is very efficient!,"I used to be sceptical about wireless earphones but these JBL earbuds changed my mind. The sound quality and bass depth is amazing. They are very comfortable and you do not really feel them even after a few hours of continuous use. At the same time they hold themselves in place securely. Even when exercising or running there is no need to re-insert or re-adjust them. The active noise cancellation is very efficient and its additional settings make it even more useful. The JBL app gives access to all the settings yet it is simple, logic and easy to use. The case looks good but the lid is a little wobbly both when opened and closed. Overall, I highly and sincerely recommend it :)",5,jbl,Positive
90,EricGCWI,My New Favorite buds,"I love these ear buds. I wish I could go back and give a slightly lesser review to some other buds I've had lol. The sound on these is great, deep bass sound and a rich atmosphere altogether. I love the low profile of these to your head. I drive a scooter and have problems with either volume, or wind noise from resistance on previous ear buds, but not with these! The sound cancelling is phenomenal. Just try being next to something loud, then turn it on and off, you'll notice a significant difference. The functionality is the same as other JBL products, easy tapping on either side for the functions you require. They paired immediately without a hitch and continue to pair every time I turn them on, zero hassles. The battery hasn't died on me yet from the initial charge, I've used them for probably close to an hour so far on rides and runs. They stay in really well and I don't get anxious about them falling out during activities.",5,jbl,Positive
91,B_parky,Find my bud. Doesnât work,I bought this product ilast November.  The sound is very good as expected. My other reason for buying is the fantastic battery life. Unfortunately I lost one of my buds in long grass but I was confident it wouldnât be a problem because of the âfind my bud feature. I contacted support as I couldnât get it to work and their reply was I had to put the lost bud in the case for the feature to work. Wow. Thatâs some kind of a crazy feature. I then asked if I could buy a replacement ear bud as the find my bud feature doesnât work and I would prefer not to throw out what I have left. The response from support. No you have to purchase a new set.,2,jbl,Positive
92,4NDR34S_TR0Y,Amazing sound for a great value,"The JBL Live Pro 2 true wireless earbuds are a bass-lover's dream, offering an impressive audio experience alongside several noteworthy features.

Adaptive Noise Cancellation: With adaptive noise cancellation, these earbuds allow you to escape into your music with minimal disruptions. Whether you're in a noisy office or a bustling cafe, the ANC feature ensures that you enjoy your tunes without external interference.

Extended Battery Life: The 40 hours of total battery is outstanding. You can use these earbuds throughout the day without worrying about running out of power. The ability to provide 10 hours of continuous playback on a single charge is particularly remarkable.

Bass-Heavy Sound: For those who appreciate bass-heavy music, the JBL Live Pro 2 delivers a rich and powerful bass experience. These earbuds are tailored for deep, thumping bass, making them ideal for genres like hip-hop and electronic music.

These earbuds are a fantastic choice for audiophiles who enjoy bass-heavy genres, and the combination of adaptive noise cancellation and an extended battery life ensures that you can immerse yourself in your music for hours on end. Whether you're a commuter or just a music enthusiast, the JBL Live Pro 2 earbuds are designed to enhance your listening experience.",5,jbl,Positive
93,brandon687,Great vocals and sound clarity,Overall I would recommend these headphones to anyone that goes to the gym or is busy and on the go they are easy to use and the connectivity is some of the best I have seen and used. The sound quality is crystal clear and itâs easy to hear and understand things or the vocals coming from the artist. The only reason I did not rate this as 5 stars is because the bass is lacking and I feel like the drivers could be bigger.,4,jbl,Positive
94,Glamourna,Good quality earbuds,"I bought the JBL earbuds about a month ago and let me tell you that I've been super content with them. The quality is supreme,very comfortable to wear them, i love the noise cancelling feature, the sound is superb, very clear and everything is on point. I have been very impressed about the battery life as well, lasts so much longer than the other leading brands.",5,jbl,Positive
95,JaeRaid,Was good till it wasn't...,"Honestly I do not recommend this 

I loved this earbuds when I first bought them. Perfect sound. Perfect noise cancellation feature. Basically they were worthy of their steep price... Till they weren't.

After 6 months they simply stopped working properly. No warning, they never fell or were damaged. The case can not hold charge and they continue playing even when in the case. This means they are always on hence draining battery of the earbuds and the case. Because of all this drama, I have to connect them to my phone while the case is on charge.... 

Basically I'm too frustrated, having to buy another pair from another brand.",1,jbl,Negative
96,Kathy2812,"Great sound, easy handling!","I use the headphones for over a week now as a testing product and I love them. They are my regularly companions at my dog walks. I love to hear audio books during my walks. The sound is brilliant. I live it that you can switch out ambient sounds, so that you just hear the audio book or the current song. Great quality. 
Iâm very astonished about the good quality at phone calls. The microphone is very clearly and sensitive. So phone calls are can be made at good quality. 
The operation is very easy. Just on or two short clicks or a long Click at the headphones. 
The installation was also very simple by using the JBL App.",5,jbl,Positive
97,Mrsheen,Not Happy,"Bought these to replace my Live Pro + I lost.
Only comes with 3 buds.
Customer service couldn't tell me the sizes before I purchased them.
I'm an xl JBL not sure if times are tough but you should have included the extra tips like in the + version.For the price you should have included it I had to buy aftermarket tips at an extra cost.
Also I'm.suprised you don't have a safe volume option and spacial sound.
Maybe there could be a firmware update.",3,jbl,Negative
98,taro,Good sound quality and battery life,"The sound quality has been the strength for me in the base response in different modes.  Good to stay connected with exception of in phone calls over 30 minutes, there are intermittent half a second pause in audio (but the person on the app the other end of the phone call stated they perceive no pause in the microphone transmission.) The ANC is effective but not as good in filter out medium frequency hums than the Bose headset that I have to compare it to.  The fit is adequate but for my ear cannel after 4 hours of wearing does give me some ear ache.  This could be just a price to pay for a good seal for the ANC.  To give the context I am using an iOS device with the Live Pro 2.",4,jbl,Positive
